학교ID,학교명,gu,current_students_2025,cohort_change_2029,cohort_change_2031,model1_forecast_2029,model2_forecast_2029,model1_forecast_2031,model2_forecast_2031
B000025256,인천송원초등학교,연수구,753,0.9596005116197016,0.9425899037517764,573,562,468,479
B000025226,인천송일초등학교,연수구,980,0.9596005116197016,0.9425899037517764,882,756,821,653
B000003067,인천신송초등학교,연수구,472,0.9596005116197016,0.9425899037517764,299,349,216,296
B000003065,인천신정초등학교,연수구,1519,0.9596005116197016,0.9425899037517764,1480,1194,1458,1035
B000003058,인천연성초등학교,연수구,732,0.9596005116197016,0.9425899037517764,499,547,390,466
B000025210,인천연송초등학교,연수구,1116,0.9596005116197016,0.9425899037517764,1119,949,1223,847
B000003062,인천연수초등학교,연수구,271,0.9596005116197016,0.9425899037517764,183,202,137,172
B000003054,인천연화초등학교,연수구,608,0.9596005116197016,0.9425899037517764,523,470,477,405
B000025228,인천예송초등학교,연수구,1185,0.9596005116197016,0.9425899037517764,1351,1002,1364,895
B000003064,인천옥련초등학교,연수구,747,0.9596005116197016,0.9425899037517764,576,566,502,484
B000025248,인천은송초등학교,연수구,1502,0.9596005116197016,0.9425899037517764,1606,1350,1652,1234
B000003053,인천중앙초등학교,연수구,248,0.9596005116197016,0.9425899037517764,152,183,99,155
B000025236,인천첨단초등학교,연수구,1582,0.9596005116197016,0.9425899037517764,1360,1212,1234,1041
B000003057,인천청량초등학교,연수구,450,0.9596005116197016,0.9425899037517764,272,329,190,278
B000003056,인천청학초등학교,연수구,443,0.9596005116197016,0.9425899037517764,361,341,328,294
B000003049,인천축현초등학교,연수구,258,0.9596005116197016,0.9425899037517764,164,191,118,162
B000003055,인천함박초등학교,연수구,454,0.9596005116197016,0.9425899037517764,447,345,415,296
B000003066,인천해송초등학교,연수구,555,0.9596005116197016,0.9425899037517764,383,408,286,345
B000025222,인천현송초등학교,연수구,801,0.9596005116197016,0.9425899037517764,1050,695,1113,627
B000002994,대청초등학교,옹진군,16,0.2381924287438691,0.0,3,8,1,6
B000002996,덕적초등학교,옹진군,17,0.2381924287438691,0.0,3,8,1,7
B000002998,백령초등학교,옹진군,41,0.2381924287438691,0.0,10,20,4,17
B000002997,북포초등학교,옹진군,65,0.2381924287438691,0.0,21,31,9,25
B000002993,연평초등학교,옹진군,26,0.2381924287438691,0.0,5,13,2,10
B000002995,영흥초등학교,옹진군,147,0.2381924287438691,0.0,54,74,24,61
B000002999,인천공항초등학교신도분교장,옹진군,9,0.2381924287438691,0.0,3,4,1,3
B000003004,인천남부초등학교이작분교장,옹진군,2,0.2381924287438691,0.0,0,1,0,0
B000003000,인천삼목초등학교장봉분교장,옹진군,2,0.2381924287438691,0.0,0,1,0,0
B000003005,인천용현남초등학교자월분교장,옹진군,6,0.2381924287438691,0.0,2,3,1,2
B000002960,인성초등학교,중구,499,1.0988462025271857,1.138599925583395,537,420,554,378
B000002957,인천공항초등학교,중구,415,1.0988462025271857,1.138599925583395,328,327,278,287
B000025690,인천별빛초등학교,중구,1359,1.0988462025271857,1.138599925583395,1471,1252,1523,1163
B000002958,인천삼목초등학교,중구,481,1.0988462025271857,1.138599925583395,386,367,311,317
B000002952,인천송월초등학교,중구,137,1.0988462025271857,1.138599925583395,63,103,28,88
B000002950,인천신광초등학교,중구,699,1.0988462025271857,1.138599925583395,673,576,663,514
B000002951,인천신선초등학교,중구,286,1.0988462025271857,1.138599925583395,202,224,159,196
B000002949,인천신흥초등학교,중구,312,1.0988462025271857,1.138599925583395,263,246,230,215
B000002955,인천연안초등학교,중구,104,1.0988462025271857,1.138599925583395,42,79,18,68
B000002959,인천영종초등학교,중구,1251,1.0988462025271857,1.138599925583395,1136,1018,1080,903
B000002962,인천영종초등학교금산분교장,중구,47,1.0988462025271857,1.138599925583395,43,35,37,30
B000002954,인천용유초등학교,중구,33,1.0988462025271857,1.138599925583395,26,25,25,22
B000002956,인천운남초등학교,중구,458,1.0988462025271857,1.138599925583395,408,395,448,358
B000002953,인천운서초등학교,중구,789,1.0988462025271857,1.138599925583395,1057,783,1159,750
B000027505,인천중산초등학교,중구,1582,1.0988462025271857,1.138599925583395,1567,1272,1549,1123
B000024924,인천하늘초등학교,중구,1305,1.0988462025271857,1.138599925583395,1430,1201,1567,1116
