관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28170-00049,물방울어린이공원,어린이공원,37.4449179436,126.6726131,2447.0,미추홀구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28110-00074,미단시티 1호,근린공원,37.5182364676,126.5359036,39204.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00072,영종하늘도시 22호,소공원,37.49386683,126.5007575,1239.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00071,영종하늘도시 21호,소공원,37.49589364,126.5017221,1256.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00068,영종하늘도시 14호,소공원,37.48849543,126.4964822,1129.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00094,영종하늘도시 15호,소공원,37.48413971,126.5421307,489.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00093,영종하늘도시 10호,소공원,37.47712574,126.5274515,1014.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00091,영종하늘도시 6호,소공원,37.47402974,126.5199439,1374.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00084,미단시티 2호,소공원,37.52716903,126.513794,2585.0,중구,소공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28110-00083,미단시티 1호,소공원,37.5210282,126.5397227,8120.0,중구,소공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00075,미단시티 2호,근린공원,37.5170958263,126.5322437756,66408.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00113,영종하늘도시 22호,근린공원,37.49640288,126.578086,58404.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00112,영종하늘도시 21호,근린공원,37.49882536,126.5769702,19482.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00111,영종하늘도시 15호,근린공원,37.48569764,126.5643358,48505.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00110,영종하늘도시 14호,근린공원,37.48043144,126.5152632,43441.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00109,영종하늘도시 11호,근린공원,37.48381815,126.5312884,97629.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00108,영종하늘도시 10호,근린공원,37.47946052,126.5239245,13459.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00107,영종하늘도시 8호,근린공원,37.47550762,126.508795,26615.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00106,영종하늘도시 6호,근린공원,37.48180523,126.5047629,59927.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00105,영종하늘도시 1호,근린공원,37.50036085,126.5012368,26063.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00035,방죽공원,근린공원,37.49281711,126.5721494,17404.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
