학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000012261,문일여자고등학교,37.45247978,126.7306571,인천광역시 남동구 구월로372번길 56,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012262,부평고등학교,37.50227408,126.7276188,인천광역시 부평구 부흥북로 43,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012263,부광고등학교,37.48841975,126.7030714,인천광역시 부평구 화랑로 28,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012264,인천상정고등학교,37.48070089,126.6961796,인천광역시 부평구 경원대로 1109,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012265,부개여자고등학교,37.49791578,126.7410316,인천광역시 부평구 부흥로 433,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012266,부광여자고등학교,37.5026085,126.7355759,인천광역시 부평구 충선로 143,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012267,부평여자고등학교,37.50115184,126.7197062,인천광역시 부평구 부흥로243번길 44,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012268,인천산곡고등학교,37.50320265,126.7131951,인천광역시 부평구 원적로416번길 25,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012269,인천진산과학고등학교,37.51327242,126.7437134,인천광역시 부평구 굴포로 194-9,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012270,인천부흥고등학교,37.49121895,126.7366563,인천광역시 부평구 수변로57번길 61,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012271,부개고등학교,37.49221894,126.7380466,인천광역시 부평구 수변로57번길 36,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012272,삼산고등학교,37.52161093,126.7458927,인천광역시 부평구 영성중로 54,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012273,인천영선고등학교,37.51594529,126.743904,인천광역시 부평구 체육관로 179,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012274,세일고등학교,37.50616504,126.6930689,인천광역시 부평구 원적로 245,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012275,제일고등학교,37.478222,126.7083763,인천광역시 부평구 경인로759번길 28,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012276,명신여자고등학교,37.50460448,126.6939278,인천광역시 부평구 원적로 260,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012277,계양고등학교,37.54193113,126.7438981,인천광역시 계양구 계양문화로 177,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012278,계산고등학교,37.54718933,126.7297335,인천광역시 계양구 주부토로 588,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012279,작전고등학교,37.53284074,126.7301792,인천광역시 계양구 봉오대로729번길 27,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012280,계산여자고등학교,37.53825318,126.7418943,인천광역시 계양구 계산새로 131,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
