학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-d943654a91207e8e,이튼유치원,2026,263,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-85f5756001b304e3,인천경원초등학교병설유치원,2026,8,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-c7b1ac02486e877e,인천공항유치원,2026,75,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-bf23f2ab98fbb26d,인천공항초등학교신도분교장병설유치원,2026,1,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-492e9aeb4ad8b6e1,인천남부초등학교이작분교장병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-e136e3f6335e2476,인천달빛초등학교병설유치원,2026,43,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-7c23e3e4581c56be,인천대화초등학교병설유치원,2026,7,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-d937eda4414c29ee,인천도화초등학교병설유치원,2026,21,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-9d0fbf322e58c053,인천문학초등학교병설유치원,2026,6,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-6a49f1cfda01f663,인천별빛초등학교병설유치원,2026,63,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-4738008fa5ece47e,인천서림초등학교병설유치원,2026,19,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-cc95b8a776d508d8,인천서화초등학교병설유치원,2026,19,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-380ee7c054fafc91,인천서흥초등학교병설유치원,2026,7,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-46db3a7a96da1ce6,인천송림초등학교병설유치원,2026,5,2,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-73ccc783a23f0675,인천송현초등학교병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-b12b61fbba266e2a,인천숭의초등학교병설유치원,2026,17,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-8ba02afc753343e4,인천신선초등학교병설유치원,2026,25,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-2f2ce39905da65f8,인천신흥초등학교병설유치원,2026,15,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-74d6accdee6575bd,인천연안초등학교병설유치원,2026,21,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
