학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000002991,인천인주초등학교,418,217,115,217,115,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003034,인천미산초등학교,219,123,73,123,73,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003102,인천장수초등학교,103,23,10,23,10,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002989,인천주안남초등학교,426,282,201,282,201,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003077,상인천초등학교,395,239,163,239,163,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003060,인천동막초등학교,384,235,181,235,181,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002969,인천동명초등학교,438,479,544,479,544,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002990,인천학익초등학교,369,227,172,227,172,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003104,인천남동초등학교,312,148,74,148,74,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003047,한일초등학교,317,339,342,339,342,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003091,인천주원초등학교,242,228,215,228,215,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003032,인천산곡초등학교,427,591,552,591,552,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003076,인천상아초등학교,630,417,303,417,303,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003055,인천함박초등학교,454,366,315,366,315,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003052,인천선학초등학교,567,495,457,495,457,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002953,인천운서초등학교,789,669,565,669,565,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003069,인천박문초등학교,493,484,484,484,484,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003022,인천상정초등학교,288,320,280,320,280,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002973,인천용일초등학교,366,215,145,215,145,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003155,인천목향초등학교,484,308,230,308,230,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003089,인천고잔초등학교,826,679,576,679,576,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003096,인천소래초등학교,505,461,432,461,432,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002977,인천백학초등학교,297,187,159,187,159,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003056,인천청학초등학교,443,371,333,371,333,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003073,인천정각초등학교,950,574,391,574,391,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003130,인천명현초등학교,223,130,79,130,79,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002974,인천용현초등학교,1403,1358,1419,1358,1419,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003151,인천능내초등학교,545,358,280,358,280,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003058,인천연성초등학교,732,509,400,509,400,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003062,인천연수초등학교,271,173,125,173,125,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003080,인천동부초등학교,414,305,247,305,247,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003154,인천불로초등학교,658,515,448,515,448,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003181,송해초등학교,36,25,18,25,18,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003145,인천천마초등학교,144,63,27,63,27,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003018,인천부개서초등학교,1054,1147,1141,1147,1141,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003188,내가초등학교,57,52,57,52,57,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
