도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
꿈나무 작은도서관,작은,서구,37.494311,126.672569,11761,25,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
꿈땅 작은도서관,작은,서구,37.56719611,126.6826249,4750,24,10:00~17:00,월+법정공휴일,2025-11-14,원본
꿈마을 작은도서관,작은,서구,37.566352,126.6825031,1620,15,13:00~18:00,일+법정공휴일,2025-11-14,원본
꿈빛도서관,작은,서구,37.49663164,126.6826083,2000,20,13:00~18:00,일+법정공휴일,2025-11-14,원본
꿈사랑 작은도서관,작은,서구,37.6006953,126.6576523,9896,40,14:00~18:00,토+일+법정공휴일,2025-11-14,원본
꿈을 굽는 작은도서관,작은,서구,37.59328217,126.6968709,6482,16,14:00~18:00,금+일+법정공휴일,2025-11-14,원본
나비사랑 작은도서관,작은,서구,37.53493817,126.660403,1460,32,10:00~18:00,월,2025-11-14,원본
느티나무 도서관,작은,서구,37.49602907,126.680365,6900,24,10:00~20:00,법정공휴일,2025-11-14,원본
다독다독 북카페,작은,서구,37.59701626,126.6376311,1605,35,10:00~17:00,토+일+법정공휴일,2025-11-14,원본
단봉늘봄도서관,공공,서구,37.5964968296682,126.639805617486,41393,193,09:00~22:00,매주월요일+법정공휴일,2026-02-09,지오코딩
당하동 책이있는쉼터,작은,서구,37.59210105,126.6746306,10128,80,10:00~16:00,토+일+법정공휴일,2025-11-14,원본
당하마루 작은도서관,작은,서구,37.5904265522369,126.680364384667,1007,30,10:00~18:00,토+일+법정공휴일,2025-11-14,지오코딩
동행 작은도서관,작은,서구,37.48846687,126.6837645,1138,22,11:00~15:00,일+월+법정공휴일,2025-11-14,원본
드림파크 어울림 1단지 문고,작은,서구,37.59565987,126.6392635,4000,15,14:00~18:00,월+수+목+토+일+법정공휴일,2025-11-14,원본
드림하이 작은도서관,작은,서구,37.596244,126.673545,3385,26,11:00~17:00,월+법정공휴일,2025-11-14,원본
디에트르 더힐 작은도서관,작은,서구,37.6022774,126.708984,3000,63,09:00~20:00,법정공휴일,2025-11-14,원본
로이 작은도서관,작은,서구,37.51542354,126.6689779,1027,12,00:00~00:00,휴관,2025-11-14,원본
루에블리 작은도서관,작은,서구,37.52394782,126.6670938,3313,15,10:00~17:00,토+일+법정공휴일,2025-11-14,원본
루원더퍼스트 작은도서관,작은,서구,37.53346514,126.6651474,5000,30,13:00~18:00,일+법정공휴일,2025-11-14,원본
루원시티2차SK리더스뷰 작은도서관,작은,서구,37.52195565,126.6765082,5029,28,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
루원시티센트럴타운 작은도서관,작은,서구,37.520482,126.6668257,1048,14,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
마을서재 느루,작은,서구,37.48822247,126.6822368,6000,40,14:00~22:00,월+법정공휴일,2025-11-14,원본
마음이음 작은도서관,작은,서구,37.51792192,126.6670859,1018,20,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
마전도서관,공공,서구,37.5941149132792,126.66347146746,72144,490,09:00~22:00,매주금요일+법정공휴일,2026-02-09,지오코딩
맑은내 작은도서관,작은,서구,37.48699602,126.6872148,3000,25,10:30~18:00,일+법정공휴일,2025-11-14,원본
물푸레 작은도서관,작은,서구,37.59234272,126.6949518,19229,18,10:00~18:00,일+법정공휴일,2025-11-14,원본
민들레작은도서관,작은,서구,37.59146981,126.667843,3276,30,00:00~00:00,월+화+수+목+금+법정공휴일,2025-11-14,원본
베르힐도서관,작은,서구,37.52442845,126.6653226,1428,28,09:00~22:00,법정공휴일,2025-11-14,원본
불로 작은도서관,작은,서구,37.61386507,126.6850796,5450,24,09:30~17:00,월+법정공휴일,2025-11-14,원본
불로문화체육센터 작은도서관,작은,서구,37.61299724,126.6858828,1220,54,07:00~20:00,일+법정공휴일,2025-11-14,원본
블루힐도서관,작은,서구,37.53463287,126.6664964,1043,30,10:00~18:00,법정공휴일,2025-11-14,원본
비전 작은도서관,작은,서구,37.49445846,126.6786235,1546,20,09:00~17:00,법정공휴일,2025-11-14,원본
빛과진리 작은도서관,작은,서구,37.50434469,126.6691833,4338,20,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
빛난이슬 작은도서관,작은,서구,37.53260237,126.656837,2100,56,09:00~17:00,일+법정공휴일,2025-11-14,원본
사랑방 작은도서관,작은,서구,37.59533187,126.6927384,2300,50,10:00~17:00,월,2025-11-14,원본
사랑의 작은도서관 북카페,작은,서구,37.56441978,126.673601,11238,6,10:00~16:00,토+일+법정공휴일,2025-11-14,원본
새일꾼 작은도서관(휴관),작은,서구,37.55594433,126.6739956,1520,6,10:00~19:00,휴관,2025-11-14,원본
서구도서관,공공,서구,37.4943618068813,126.679628282051,253958,480,06:00~22:00,매주금요일+법정공휴일,2026-02-09,지오코딩
서로사랑하는도서관,작은,서구,37.59504508,126.673142,3000,20,10:00~19:00,법정공휴일,2025-11-14,원본
