관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28245-00001,하마리공원,소공원,37.529764,126.729214,291.0,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00033,안골공원,어린이공원,37.569792,126.746641,2089.8,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00032,샘터공원,어린이공원,37.567828,126.74514,1599.9,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00031,계산4공원,어린이공원,37.537914,126.733553,2143.4,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00030,개나리공원,어린이공원,37.538514,126.732612,625.7,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00029,도두리공원,어린이공원,37.53136,126.738459,3000.2,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00028,은행공원,어린이공원,37.537515,126.739268,2500.6,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00027,초정공원,어린이공원,37.540964,126.741689,2368.1,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00026,학마을공원,어린이공원,37.544163,126.74203,6634.0,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00025,임학공원,어린이공원,37.548389,126.733413,8339.9,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00024,병방공원,어린이공원,37.54814,126.738034,1667.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00023,방축공원,어린이공원,37.550528,126.740316,1810.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00022,고향골공원,어린이공원,37.540569,126.719511,1485.4,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00021,낙원공원,어린이공원,37.546462,126.737528,900.8,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00020,안남공원,어린이공원,37.54123,126.727323,1449.2,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00019,부일공원,어린이공원,37.544808,126.723221,1171.3,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00018,작전공원,어린이공원,37.525675,126.725359,9427.1,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00017,효성공원,어린이공원,37.526738,126.715671,10877.0,계양구,어린이공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00016,갈개공원,근린공원,37.535545,126.720468,7437.0,계양구,근린공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00037,동산공원,어린이공원,37.579498,126.730646,4845.9,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00036,동양택지2공원,어린이공원,37.558658,126.758387,1930.2,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00035,동양택지1공원,어린이공원,37.559059,126.753403,2368.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00034,굴재공원,어린이공원,37.567896,126.749039,1600.4,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00051,목숙교공원,소공원,37.5308974758,126.754827,2919.1,계양구,소공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00050,길머리공원,소공원,37.5361447811,126.753471,4999.5,계양구,소공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00049,박촌공원,어린이공원,37.557544,126.747451,4019.0,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00048,양촌공원,어린이공원,37.548758,126.745885,4285.0,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00047,소양공원,어린이공원,37.558197,126.741599,2431.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00046,들놀이공원,어린이공원,37.565824,126.751777,6285.0,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00045,계산1호공원,어린이공원,37.542757,126.723728,1197.4,계양구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00044,살나리공원,어린이공원,37.536298,126.746173,2053.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00043,서녘공원,어린이공원,37.560911,126.757735,1517.3,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00042,모텡이공원,어린이공원,37.561596,126.754568,1637.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00041,양지말공원,어린이공원,37.563848,126.754115,8957.7,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00040,장터공원,어린이공원,37.578382,126.736734,2202.8,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00039,중앙공원,어린이공원,37.577607,126.734374,2384.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00038,장기공원,어린이공원,37.577702,126.731422,1683.8,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00064,서운공원,어린이공원,37.528747,126.7482088787,3191.1,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00063,꿈나무공원,어린이공원,37.529688,126.711728,4741.0,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28245-00062,쑥쑥공원,어린이공원,37.528281,126.715082,1532.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00061,귤현3공원,어린이공원,37.564738,126.74841,1506.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
