학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000025210,인천연송초등학교,송도  12호 어린이공원_37.398_126.638,219.8,37.39802178,126.6376099
B000025222,인천현송초등학교,랜드마크시티 3호 근린공원_37.408_126.621,2024.0,37.40831042,126.6208499
B000025225,인천송빛초등학교,랜드마크시티 3호 수변공원_37.384_126.618,1065.0,37.38350683,126.6182251
B000025226,인천송일초등학교,돌내어린이공원,114.0,37.38162523,126.6321172
B000025228,인천예송초등학교,송도  14호 어린이공원_37.388_126.631,0.0,37.38789642,126.631432
B000025236,인천첨단초등학교,어울림공원,100.0,,
B000025246,인천미송초등학교,송도랜드마크시티9호근린공원,489.0,,
B000025248,인천은송초등학교,랜드마크시티 3호 근린공원_37.408_126.621,1575.0,37.40831042,126.6208499
B000025256,인천송원초등학교,국제화복합단지 1호 근린공원_37.388_126.668,219.0,37.38816404,126.6680747
B000025512,인천용학초등학교,도담어린이공원_37.447_126.643,0.0,37.447073,126.642974
B000025677,인천주안초등학교,승기어린이공원_37.454_126.674,64.8,37.4536293398,126.6743230754
B000025690,인천별빛초등학교,영종하늘도시29호,544.0,37.48825833,126.5468859
B000025751,인천경연초등학교,황소자리공원_37.539_126.628,153.7,37.53876426,126.627701
B000025752,인천도담초등학교,포리공원_37.528_126.643,215.1,37.52767778,126.6428138
B000025756,인천청호초등학교,물병자리공원,156.0,37.53836207,126.6427153
B000026155,인천한들초등학교,당하어린이공원_37.584_126.679,884.6,37.5842079,126.6791439
B000026332,인천백석초등학교,당하지구7호 어린이공원_37.589_126.671,159.3,37.58887806,126.6709325
B000026333,인천가원초등학교,가경공원_37.529_126.671,811.7,37.52858862,126.6708656
B000026466,인천아라초등학교,아라노을공원,166.0,,
B000026467,인천해든초등학교,해든공원,175.0,,
B000026468,인천아람초등학교,동글동글나이테공원_37.587_126.718,78.9,37.5874640504,126.7175062391
B000026469,인천한별초등학교,웃목어린이공원,213.0,,
B000026470,인천이음초등학교,아랫목어린이공원_37.602_126.715,584.1,37.6024530532,126.715066291
B000026471,인천신검단초등학교,원당지구 4호 어린이공원_37.599_126.698,1282.0,37.59931561,126.6984068
B000026504,인천송담초등학교,랜드마크시티 1호 수변공원_37.412_126.610,746.1,37.41225764,126.6101271
B000027505,인천중산초등학교,박석공원_37.495_126.564,55.7,37.49473516,126.5637807
