학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000003101,인천인동초등학교,남동구,1147,539.9514547177846,294.9374454616964,540.4675,294.89127,0.4707510503206492,0.2571381390250187,0
B000003102,인천장수초등학교,남동구,138,64.96364494424958,35.48506318545258,65.03,35.45427,0.4707510503206492,0.2571381390250187,0
B000003103,인천담방초등학교,남동구,273,128.51503673753723,70.1987119538301,128.55513,70.25313,0.4707510503206492,0.2571381390250187,0
B000003104,인천남동초등학교,남동구,423,199.1276942856346,108.7694328075829,199.08112,108.82517,0.4707510503206492,0.2571381390250187,0
B000003105,인천서창초등학교,남동구,644,303.1636764064981,165.59696153211203,303.2199,165.4345,0.4707510503206492,0.2571381390250187,0
B000003106,경인교육대학교부설초등학교,계양구,279,156.83392648919408,108.07060447265235,156.82266,108.003296,0.5621287687784734,0.3873498368195425,0
B000003107,인천효성동초등학교,계양구,588,330.53171604174236,227.761704049891,330.58505,227.5097,0.5621287687784734,0.3873498368195425,0
B000003108,인천효성남초등학교,계양구,702,394.61439568248835,271.9195854473188,394.86133,272.00238,0.5621287687784734,0.3873498368195425,0
B000003109,인천효성초등학교,계양구,276,155.14754018285865,106.90855496219373,154.97946,106.91559,0.5621287687784734,0.3873498368195425,0
B000003110,인천해서초등학교,계양구,226,127.04110174393499,87.54106312121661,127.23509,87.68105,0.5621287687784734,0.3873498368195425,0
B000003111,인천안남초등학교,계양구,726,408.10548613317167,281.21598153098785,408.22772,281.29996,0.5621287687784734,0.3873498368195425,0
B000003112,인천성지초등학교,계양구,497,279.3779980829013,192.51286889931262,278.91187,192.61835,0.5621287687784734,0.3873498368195425,0
B000003113,인천화전초등학교,계양구,825,463.75623424224057,319.5636153761226,463.51978,319.6057,0.5621287687784734,0.3873498368195425,0
B000003114,인천서운초등학교,계양구,363,204.05274306658583,140.60799076549392,204.1948,140.5677,0.5621287687784734,0.3873498368195425,0
B000003115,인천신대초등학교,계양구,216,121.41981405615026,83.66756475302118,121.76741,83.69783,0.5621287687784734,0.3873498368195425,0
B000003116,인천길주초등학교,계양구,374,210.23615952314904,144.8688389705089,210.11018,144.77557,0.5621287687784734,0.3873498368195425,0
B000003117,인천병방초등학교,계양구,590,331.6559735792993,228.53640372353007,330.6796,228.20386,0.5621287687784734,0.3873498368195425,0
B000003118,인천양촌초등학교,계양구,158,88.8163454669988,61.201274217487715,88.74433,61.107883,0.5621287687784734,0.3873498368195425,0
B000003119,인천소양초등학교,계양구,130,73.07673994120154,50.35547878654052,73.17555,50.47113,0.5621287687784734,0.3873498368195425,0
B000003120,인천당산초등학교,계양구,304,170.8871457086559,117.75435039314092,171.0248,117.88334,0.5621287687784734,0.3873498368195425,0
B000003121,인천귤현초등학교,계양구,245,137.72154835072598,94.90071002078791,137.8463,95.054535,0.5621287687784734,0.3873498368195425,0
B000003122,인천계양초등학교,계양구,207,116.360655137144,80.18141622164529,116.55585,80.37144,0.5621287687784734,0.3873498368195425,0
B000003123,인천계산초등학교,계양구,275,154.5854114140802,106.52120512537418,154.99057,106.612495,0.5621287687784734,0.3873498368195425,0
B000003124,인천안산초등학교,계양구,459,258.01710486931927,177.79357510017002,258.14917,177.76033,0.5621287687784734,0.3873498368195425,0
B000003125,인천부평초등학교,계양구,600,337.27726126708404,232.40990209172548,337.46793,232.37018,0.5621287687784734,0.3873498368195425,0
