구명,구역명,위치,면적,사업유형,진행단계,출처,위도,경도
중구,경동율목,경동 40번지 및 율목동 10번지 일원,34218.0,재개발,조합설립인가,도시정비,37.4719559025256,126.634204051458
중구,송월,송월동1가 12-16번지 일원(당초 : 송월동 11번지 일원),27338.0,재개발,조합설립인가,도시정비,37.4794468257065,126.623721204404
중구,송월아파트,송월동1가 10-1번지 일원,33683.0,재개발,조합설립인가,도시정비,37.4802435315887,126.622208434381
중구,경동,경동 96-1번지 일원,41970.0,재개발,조합설립인가,도시정비,37.4726581925262,126.634248109011
중구,인천여상주변,사동 23-4번지 일원,20481.0,재개발,관리처분계획인가,도시정비,37.4688877698215,126.626618954529
중구,전동웃터골,중구 전동 32-1번지 일원,29933.0,주거환경개선(현지개량),착공,도시정비,37.4759577255478,126.626060914855
중구,광성고주변(도원),도원동 18-1번지 일원,111070.0,정비구역지정(후보지 1차),정비구역지정(후보지 1차),도시정비,37.4691708372013,126.640468085662
중구,율목동,율목동 162-1 번지 일원,56468.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4702262834872,126.634304837109
동구,대헌학교뒤,송림동 37-10번지 일원,39943.9,주거환경개선(전면개량),착공,도시정비,,
동구,송림4,"송림동 2, 4번지 일원",23915.0,주거환경개선(전면개량),사업시행계획인가,도시정비,,
동구,금송,송림동 80-34 및 창영동 116-1번지 일원,162623.3,재개발,관리처분계획인가,도시정비,37.4720258125623,126.645193562715
동구,서림,송림동 64-55번지 일원,19477.1,재개발,사업시행계획인가,도시정비,37.4746149665539,126.6475498505
동구,"송림1,2동",송림동 160번지 일원,153784.9,재개발,관리처분계획인가,도시정비,,
동구,송림3,송림6동 42-215번지 일원,54893.5,재개발,착공,도시정비,37.4783023067446,126.648873381763
동구,"송현1,2차A",송현동 1번지 일원,50679.6,재건축,조합설립인가,도시정비,,
동구,화수화평,화평동 1-1번지 일원,180998.0,재개발,조합설립인가,도시정비,37.4805771607127,126.632981345702
동구,송림6,송림동 31-3번지 일원,10146.1,재개발,관리처분계획인가,도시정비,37.4781420469347,126.650554710834
동구,만석동 주꾸미 마을,제물량로 341 일원,62123.0,주거환경개선(현지개량),착공,도시정비,37.4812944799518,126.620498864965
동구,송희마을,송림동 4-237번지 일원,12583.0,주거환경개선(현지개량),착공,도시정비,37.4784130521795,126.652810622606
동구,송미로,송미로23번길 일원,2785.0,주거환경개선(현지개량),착공,도시정비,37.4824698060646,126.648264937007
동구,쇠뿔고개,창영동 21-15번지 일원,35072.5,주거환경개선(현지개량),착공,도시정비,37.470779037358,126.639106669263
