관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28710-00002,갑룡공원,어린이공원,37.74240384,126.5038493,18605.0,강화군,갑룡초등학교,92.68
28710-00006,강화읍소공원,소공원,37.7480141,126.4860645162,311.0,강화군,강화초등학교,259.01
28710-00004,관청근린공원,근린공원,37.74886852,126.4923256,83454.0,강화군,강화초등학교,570.05
28237-00020,건강공원,근린공원,37.51761295,126.7493656,16248.0,부평구,인천한길초등학교,376.84
28237-00019,교통공원,근린공원,37.51949317,126.7498192,24077.0,부평구,인천한길초등학교,380.26
28237-00018,영성공원,근린공원,37.52196831,126.7406061,10523.0,부평구,인천삼산초등학교,219.9
28237-00017,후정공원,근린공원,37.52349492,126.7429755,22209.0,부평구,인천후정초등학교,65.78
28237-00016,분수공원,근린공원,37.50815932,126.7411937,28427.0,부평구,인천구산초등학교,280.37
28237-00015,박물관공원,근린공원,37.51214198,126.737932,18075.0,부평구,인천굴포초등학교,152.58
28237-00014,시냇물공원,근린공원,37.51277232,126.7363686,20353.0,부평구,인천굴포초등학교,199.87
28237-00013,방촌공원,근린공원,37.49780768,126.7390151,11501.0,부평구,인천부내초등학교,240.68
28237-00012,세영공원,근린공원,37.49986044,126.7367769,10105.0,부평구,인천부광초등학교,87.82
28237-00011,청운공원,근린공원,37.50296964,126.7427654,15587.0,부평구,인천부일초등학교,225.66
28237-00010,부개공원,근린공원,37.50604759,126.7411715,10986.0,부평구,인천구산초등학교,152.76
28237-00009,대촌공원,근린공원,37.4972794,126.7397023,12502.0,부평구,인천부내초등학교,201.68
28237-00008,갈산공원,근린공원,37.51941746,126.7257611,45686.0,부평구,인천부평북초등학교,356.44
28237-00007,사근공원,근린공원,37.50862714,126.7243195,15915.0,부평구,인천갈월초등학교,200.09
28237-00006,굴포공원,근린공원,37.5091768,126.7243372,20529.0,부평구,인천갈월초등학교,143.04
28237-00005,신트리공원,근린공원,37.50658091,126.7236393,58595.0,부평구,인천개흥초등학교,425.41
28237-00004,밤골공원,근린공원,37.48374019,126.7337229,10111.0,부평구,인천동수초등학교,242.79
28237-00003,마장공원,근린공원,37.50071118,126.7078504,15020.0,부평구,인천부곡초등학교,317.92
28237-00002,백운공원,근린공원,37.48219263,126.7030046,60743.0,부평구,인천백운초등학교,289.23
28237-00001,희망공원,근린공원,37.48526546,126.7125196,64566.0,부평구,인천신촌초등학교,538.12
28185-00016,대학공원,근린공원,37.42110245,126.6877626,103616.6,연수구,인천중앙초등학교,455.63
28185-00015,양지공원,근린공원,37.41535286,126.678406,10253.6,연수구,인천연화초등학교,491.51
28185-00014,솔안공원,근린공원,37.41231221,126.6828469,13580.7,연수구,인천연화초등학교,149.76
28185-00013,솔밭공원,근린공원,37.41678364,126.6891767,28549.3,연수구,인천중앙초등학교,287.53
28185-00012,청학공원,근린공원,37.416022,126.6746663,10681.2,연수구,인천청량초등학교,454.34
28185-00011,용담공원,근린공원,37.41862117,126.674218,30112.3,연수구,인천청학초등학교,364.06
28185-00010,연일공원,어린이공원,37.41944263,126.6916193,5037.7,연수구,인천연수초등학교,426.72
28185-00009,문남공원,어린이공원,37.42118616,126.6786198,21810.9,연수구,인천문남초등학교,63.29
28185-00008,마리공원,어린이공원,37.42604066,126.6829999,5354.8,연수구,인천함박초등학교,543.65
28185-00007,학공원,어린이공원,37.42008553,126.6968194,2322.1,연수구,인천연수초등학교,294.93
28185-00006,은행나무공원,어린이공원,37.420872,126.6975196,4452.7,연수구,인천연수초등학교,278.18
28185-00005,승기공원,어린이공원,37.4197522,126.6984594,7545.8,연수구,인천연수초등학교,420.19
28185-00004,두리공원,어린이공원,37.42402254,126.6954643,1591.1,연수구,인천연수초등학교,202.02
28185-00003,능허대공원,어린이공원,37.4229841,126.6425202,12363.0,연수구,인천능허대초등학교,567.2
28185-00002,선학공원,어린이공원,37.42348871,126.6995192,9132.0,연수구,인천선학초등학교,121.81
28185-00001,한진공원,어린이공원,37.421883,126.651779,993.2,연수구,인천축현초등학교,230.85
28185-00032,청담공원,어린이공원,37.41829565,126.6728506,3027.6,연수구,인천청학초등학교,280.97
28185-00031,중앙공원,어린이공원,37.428725,126.6681989,1500.1,연수구,인천송도초등학교,876.75
28185-00030,이야기공원,어린이공원,37.4265496,126.668873,1500.2,연수구,인천청학초등학교,743.94
28185-00029,안골공원,어린이공원,37.42964777,126.6642505,1446.7,연수구,인천송도초등학교,593.45
28185-00028,시대공원,어린이공원,37.42278865,126.670945,5928.6,연수구,인천청학초등학교,315.84
28185-00027,성호공원,어린이공원,37.42339344,126.6679509,2990.3,연수구,인천청학초등학교,440.62
