학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000003095,인천구월초등학교,37.45173667,126.7168365,인천광역시 남동구 인주대로 721번길 49,인천광역시교육청
B000003140,인천초은초등학교,37.52842319,126.6558477,인천광역시 서구 청라에메랄드로 33,인천광역시교육청
B000025189,인천송명초등학교,37.37448648,126.6560771,인천광역시 연수구 송도교육로 19,인천광역시교육청
B000025677,인천주안초등학교,37.45465257,126.6738236,인천광역시 미추홀구 남주길69번길 16,인천광역시교육청
B000003164,인천가정초등학교,37.49166135,126.6884322,인천광역시 서구 장고개로 336-1,인천광역시교육청
B000003187,양사초등학교,37.80312265,126.4215131,인천광역시 강화군 양사면 덕하로 145,인천광역시교육청
B000003133,인천해원초등학교,37.52761134,126.6260936,인천광역시 서구 청라사파이어로140번길 5,인천광역시교육청
B000002968,인천서림초등학교,37.47540994,126.6460179,인천광역시 동구 금곡로 105,인천광역시교육청
B000026333,인천가원초등학교,37.52921844,126.6641213,인천광역시 서구 청중로478번길 6,인천광역시교육청
B000003175,조산초등학교,37.65331522,126.4383617,인천광역시 강화군 양도면 강화남로 510,인천광역시교육청
B000003074,인천간석초등학교,37.45925947,126.7154465,인천광역시 남동구 석산로208번길 37,인천광역시교육청
B000002993,연평초등학교,37.66412421,125.7010233,인천광역시 옹진군 연평면 연평로137번길 101,인천광역시교육청
B000025236,인천첨단초등학교,37.37314562,126.6549766,인천광역시 연수구 송도교육로 20,인천광역시교육청
B000026470,인천이음초등학교,37.5987693,126.7126821,인천광역시 서구 이음1로 447,인천광역시교육청
B000003124,인천안산초등학교,37.54409319,126.7317526,인천광역시 계양구 임학서로 15,인천광역시교육청
B000003185,하점초등학교,37.77369223,126.4141874,인천광역시 강화군 하점면 강화대로 1190,인천광역시교육청
B000003065,인천신정초등학교,37.39732894,126.6444905,인천광역시 연수구 아트센터대로97번길 72,인천광역시교육청
B000002962,인천영종초등학교금산분교장,37.51341888,126.521452,인천광역시 중구 백운로414번길 63-50,인천광역시교육청
B000003158,인천원당초등학교,37.59251428,126.6913305,인천광역시 서구 원당대로820번길 16,인천광역시교육청
B000025512,인천용학초등학교,37.44676348,126.6434992,인천광역시 미추홀구 용정공원로83번길 9,인천광역시교육청
B000003087,인천원동초등학교,37.39689725,126.7308567,인천광역시 남동구 논고개로 38,인천광역시교육청
B000025222,인천현송초등학교,37.39385504,126.6203812,인천광역시 연수구 아카데미로312번길 96,인천광역시교육청
B000003016,인천부일초등학교,37.50120165,126.741505,인천광역시 부평구 부흥북로 175,인천광역시교육청
B000003170,인천서곶초등학교,37.54784271,126.6694055,인천광역시 서구 대평로56번길 9,인천광역시교육청
B000026504,인천송담초등학교,37.41010104,126.614909,인천광역시 연수구 아카데미로 627,인천광역시교육청
B000003176,화도초등학교,37.63186752,126.4187675,인천광역시 강화군 화도면 마니산로 717,인천광역시교육청
B000003139,인천청라초등학교,37.53774888,126.6556967,인천광역시 서구 청라에메랄드로 139,인천광역시교육청
B000025210,인천연송초등학교,37.39991028,126.6391413,인천광역시 연수구 해돋이로 248,인천광역시교육청
B000003179,강화초등학교,37.75034709,126.4861312,인천광역시 강화군 강화읍 북문길 36,인천광역시교육청
B000003101,인천인동초등학교,37.46258155,126.7225981,인천광역시 남동구 백범로248번길 38,인천광역시교육청
B000002982,인천석암초등학교,37.462350,126.6867275,인천광역시 미추홀구 주안동로 46,인천광역시교육청
B000002956,인천운남초등학교,37.49040132,126.5303946,인천광역시 중구 운남서로 38,인천광역시교육청
B000003153,인천완정초등학교,37.59847454,126.6642469,인천광역시 서구 완정로 99,인천광역시교육청
B000003160,인천창신초등학교,37.59892346,126.6982147,인천광역시 서구 고산후로161번길 6,인천광역시교육청
B000026332,인천백석초등학교,37.58980222,126.6717483,인천광역시 서구 청마로 55,인천광역시교육청
B000003186,명신초등학교,37.7446252,126.3905401,인천광역시 강화군 하점면 강화서로560번길 22,인천광역시교육청
B000003122,인천계양초등학교,37.57922129,126.7336487,인천광역시 계양구 장제로 1288,인천광역시교육청
B000003194,서도초등학교,37.64803766,126.2524746,인천광역시 강화군 서도면 주문도길 173,인천광역시교육청
B000003112,인천성지초등학교,37.52649282,126.7200667,인천광역시 계양구 아나지로247번길 8,인천광역시교육청
B000003120,인천당산초등학교,37.55869681,126.7595313,인천광역시 계양구 동양로 122,인천광역시교육청
B000002967,인천서흥초등학교,37.47865812,126.6445955,인천광역시 동구 샛골로 189,인천광역시교육청
B000003192,교동초등학교,37.78418473,126.2813257,인천광역시 강화군 교동면 대룡안길 29,인천광역시교육청
B000003134,인천경명초등학교,37.5369986,126.6373144,인천광역시 서구 크리스탈로 130,인천광역시교육청
B000003184,삼성초등학교,37.70759295,126.4495644,인천광역시 강화군 불은면 중앙로 609,인천광역시교육청
B000022839,인천청일초등학교,37.52925923,126.6373634,인천광역시 서구 크리스탈로 46,인천광역시교육청
B000026471,인천신검단초등학교,37.60908782,126.7005355,인천광역시 서구 금정로 55,인천광역시교육청
B000003141,인천양지초등학교,37.54002481,126.6711946,인천광역시 서구 승학로197번길 11,인천광역시교육청
B000003190,삼산초등학교,37.7030456,126.3216158,인천광역시 강화군 삼산면 삼산북로 451,인천광역시교육청
