학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000002972,인천용정초등학교,미추홀구,2.0,3.0,Q3,2,normal,2,3,0.0234,0.2877,0.6415,0.0474,1,rule_case_vs_ml_case
B000002973,인천용일초등학교,미추홀구,2.0,3.0,Q3,2,normal,2,1,0.3209,0.2781,0.313,0.088,1,rule_case_vs_ml_case
B000002974,인천용현초등학교,미추홀구,3.0,2.0,Q4,0,normal,3,2,0.1317,0.371,0.1882,0.3091,1,rule_case_vs_ml_case
B000002975,인천용현남초등학교,미추홀구,2.0,3.0,Q1,0,normal,2,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000002976,인천학산초등학교,미추홀구,3.0,2.0,Q3,0,normal,3,4,0.1018,0.1889,0.2767,0.4326,1,rule_case_vs_ml_case
B000002977,인천백학초등학교,미추홀구,4.0,1.0,Q3,1,normal,4,2,0.0462,0.4367,0.3449,0.1722,1,rule_case_vs_ml_case
B000002978,인천도화초등학교,미추홀구,2.0,3.0,Q3,0,normal,2,4,0.0844,0.1292,0.382,0.4044,1,rule_case_vs_ml_case
B000002979,인천문학초등학교,미추홀구,3.0,2.0,Q3,1,normal,3,2,0.0563,0.4368,0.1505,0.3564,1,rule_case_vs_ml_case
B000002980,인천관교초등학교,미추홀구,2.0,3.0,Q4,1,normal,2,3,0.2789,0.2806,0.2904,0.1501,1,rule_case_vs_ml_case
B000002981,인천경원초등학교,미추홀구,2.0,3.0,Q4,2,normal,2,3,0.1225,0.3223,0.5009,0.0542,1,rule_case_vs_ml_case
